,episode,learning_rate,best_value,discount,epsilondecay
236,0,0.8,-200.0,0.9,0.0009
237,0,0.8,-200.0,0.9,0.0018
238,0,0.8,-200.0,0.9,0.0036
239,0,0.8,-200.0,1.0,0.0009
240,0,0.8,-200.0,1.0,0.0018
241,0,0.8,-200.0,1.0,0.0036
242,947,0.8,-165.0,1.0,0.0036
243,0,0.9,-200.0,0.1,0.0009
244,0,0.9,-200.0,0.1,0.0018
245,0,0.9,-200.0,0.1,0.0036
246,0,0.9,-200.0,0.2,0.0009
247,0,0.9,-200.0,0.2,0.0018
248,0,0.9,-200.0,0.2,0.0036
249,0,0.9,-200.0,0.30000000000000004,0.0009
250,0,0.9,-200.0,0.30000000000000004,0.0018
251,0,0.9,-200.0,0.30000000000000004,0.0036
252,0,0.9,-200.0,0.4,0.0009
253,0,0.9,-200.0,0.4,0.0018
254,0,0.9,-200.0,0.4,0.0036
255,0,0.9,-200.0,0.5,0.0009
256,0,0.9,-200.0,0.5,0.0018
257,0,0.9,-200.0,0.5,0.0036
258,0,0.9,-200.0,0.6,0.0009
259,0,0.9,-200.0,0.6,0.0018
260,0,0.9,-200.0,0.6,0.0036
261,0,0.9,-200.0,0.7000000000000001,0.0009
262,0,0.9,-200.0,0.7000000000000001,0.0018
263,0,0.9,-200.0,0.7000000000000001,0.0036
264,0,0.9,-200.0,0.8,0.0009
265,0,0.9,-200.0,0.8,0.0018
266,0,0.9,-200.0,0.8,0.0036
267,0,0.9,-200.0,0.9,0.0009
268,0,0.9,-200.0,0.9,0.0018
269,0,0.9,-200.0,0.9,0.0036
270,0,0.9,-200.0,1.0,0.0009
271,0,0.9,-200.0,1.0,0.0018
272,0,0.9,-200.0,1.0,0.0036
273,0,1.0,-200.0,0.1,0.0009
274,0,1.0,-200.0,0.1,0.0018
275,0,1.0,-200.0,0.1,0.0036
276,0,1.0,-200.0,0.2,0.0009
277,0,1.0,-200.0,0.2,0.0018
278,0,1.0,-200.0,0.2,0.0036
279,0,1.0,-200.0,0.30000000000000004,0.0009
280,0,1.0,-200.0,0.30000000000000004,0.0018
281,0,1.0,-200.0,0.30000000000000004,0.0036
282,0,1.0,-200.0,0.4,0.0009
283,0,1.0,-200.0,0.4,0.0018
284,0,1.0,-200.0,0.4,0.0036
285,0,1.0,-200.0,0.5,0.0009
286,0,1.0,-200.0,0.5,0.0018
287,0,1.0,-200.0,0.5,0.0036
288,0,1.0,-200.0,0.6,0.0009
289,0,1.0,-200.0,0.6,0.0018
290,0,1.0,-200.0,0.6,0.0036
291,0,1.0,-200.0,0.7000000000000001,0.0009
292,0,1.0,-200.0,0.7000000000000001,0.0018
293,0,1.0,-200.0,0.7000000000000001,0.0036
294,0,1.0,-200.0,0.8,0.0009
295,0,1.0,-200.0,0.8,0.0018
296,0,1.0,-200.0,0.8,0.0036
297,0,1.0,-200.0,0.9,0.0009
298,0,1.0,-200.0,0.9,0.0018
299,0,1.0,-200.0,0.9,0.0036
300,0,1.0,-200.0,1.0,0.0009
301,0,1.0,-200.0,1.0,0.0018
302,0,1.0,-200.0,1.0,0.0036
